# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "1" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "PD_122_R10_S05#_cds.txt" "PD_122_R10_S05#.bam" 
Geneid	Chr	Start	End	Strand	Length	PD_122_R10_S05#.bam
b0001	NC_000913.3	190	255	+	66	1379
b0002	NC_000913.3	337	2799	+	2463	9023
b0003	NC_000913.3	2801	3733	+	933	3899
b0004	NC_000913.3	3734	5020	+	1287	4728
b0005	NC_000913.3	5234	5530	+	297	118
b0006	NC_000913.3	5683	6459	-	777	513
b0007	NC_000913.3	6529	7959	-	1431	150
b0008	NC_000913.3	8238	9191	+	954	14630
b0009	NC_000913.3	9306	9893	+	588	324
b0010	NC_000913.3	9928	10494	-	567	414
b0011	NC_000913.3	10643	11356	-	714	40
b0012	NC_000913.3	10830	11315	+	486	1
b0013	NC_000913.3	11382	11786	-	405	4
b0014	NC_000913.3	12163	14079	+	1917	28327
b0015	NC_000913.3	14168	15298	+	1131	2191
b0016	NC_000913.3	15445	16557	+	1113	515
b0018	NC_000913.3	16751	16960	-	210	110
b4412	NC_000913.3	16751	16903	-	153	0
b0019	NC_000913.3	17489	18655	+	1167	1017
b0020	NC_000913.3	18715	19620	+	906	406
b0021	NC_000913.3	19811	20314	-	504	3
b0022	NC_000913.3	20233	20508	-	276	27
b0023	NC_000913.3	20815	21078	-	264	4644
b0024	NC_000913.3	21181	21399	+	219	61
b0025	NC_000913.3	21407	22348	+	942	2818
b0026	NC_000913.3	22391	25207	+	2817	9218
b0027	NC_000913.3	25207	25701	+	495	823
b0028	NC_000913.3	25826	26275	+	450	707
b0029	NC_000913.3	26277	27227	+	951	929
b0030	NC_000913.3	27293	28207	+	915	961
b0031	NC_000913.3	28374	29195	+	822	1459
b0032	NC_000913.3	29651	30799	+	1149	4920
b0033	NC_000913.3	30817	34038	+	3222	8305
b0034	NC_000913.3	34300	34695	+	396	192
b0035	NC_000913.3	34781	35371	-	591	20
b0036	NC_000913.3	35377	36162	-	786	10
b0037	NC_000913.3	36271	37824	-	1554	53
b0038	NC_000913.3	37898	39115	-	1218	59
b0039	NC_000913.3	39244	40386	-	1143	140
b0040	NC_000913.3	40417	41931	-	1515	9
b0041	NC_000913.3	42403	43173	+	771	13
b0042	NC_000913.3	43188	44129	+	942	16
b0043	NC_000913.3	44180	45466	+	1287	22
b0044	NC_000913.3	45463	45750	+	288	3
b0045	NC_000913.3	45807	47138	+	1332	12
b0046	NC_000913.3	47246	47776	+	531	139
b0047	NC_000913.3	47769	49631	+	1863	338
b0048	NC_000913.3	49823	50302	+	480	690
b0049	NC_000913.3	50380	51222	-	843	645
b0050	NC_000913.3	51229	51606	-	378	735
b0051	NC_000913.3	51609	52430	-	822	1478
b0052	NC_000913.3	52427	53416	-	990	1199
b0053	NC_000913.3	53416	54702	-	1287	5649
b0054	NC_000913.3	54755	57109	-	2355	9836
b0055	NC_000913.3	57364	58179	+	816	498
b0056	NC_000913.3	58474	59124	+	651	438
b0057	NC_000913.3	59121	59279	+	159	126
b0058	NC_000913.3	59687	60346	-	660	308
b0059	NC_000913.3	60358	63264	-	2907	1108
b0060	NC_000913.3	63429	65780	-	2352	414
b0061	NC_000913.3	65855	66550	-	696	0
b0062	NC_000913.3	66835	68337	-	1503	0
b0063	NC_000913.3	68348	70048	-	1701	0
b0064	NC_000913.3	70387	71265	+	879	877
b0065	NC_000913.3	71351	72115	+	765	496
b0066	NC_000913.3	72229	72927	-	699	45
b0067	NC_000913.3	72911	74521	-	1611	74
b0068	NC_000913.3	74497	75480	-	984	127
b0069	NC_000913.3	75644	77299	-	1656	335
b4662	NC_000913.3	77388	77519	+	132	402
b0070	NC_000913.3	77621	78799	+	1179	428
b0071	NC_000913.3	78848	79453	-	606	4228
b0072	NC_000913.3	79464	80864	-	1401	8501
b0073	NC_000913.3	80867	81958	-	1092	9557
b0074	NC_000913.3	81958	83529	-	1572	16451
b0075	NC_000913.3	83622	83708	-	87	150
b0076	NC_000913.3	84368	85312	+	945	171
b4726	NC_000913.3	85467	85511	-	45	0
b0077	NC_000913.3	85630	87354	+	1725	2296
b0078	NC_000913.3	87357	87848	+	492	1091
b0080	NC_000913.3	88028	89032	+	1005	145
b0081	NC_000913.3	89634	90092	+	459	2114
b0082	NC_000913.3	90094	91035	+	942	2672
b0083	NC_000913.3	91032	91397	+	366	859
b0084	NC_000913.3	91413	93179	+	1767	2415
b0085	NC_000913.3	93166	94653	+	1488	2183
b0086	NC_000913.3	94650	96008	+	1359	2093
b0087	NC_000913.3	96002	97084	+	1083	1875
b0088	NC_000913.3	97087	98403	+	1317	2244
b0089	NC_000913.3	98403	99647	+	1245	2260
b0090	NC_000913.3	99644	100711	+	1068	1765
b0091	NC_000913.3	100765	102240	+	1476	2598
b0092	NC_000913.3	102233	103153	+	921	2323
b0093	NC_000913.3	103155	103985	+	831	1914
b0094	NC_000913.3	103982	105244	+	1263	2241
b0095	NC_000913.3	105305	106456	+	1152	5440
b0096	NC_000913.3	106557	107474	+	918	19387
b0097	NC_000913.3	107705	108217	+	513	1748
b0098	NC_000913.3	108279	110984	+	2706	4592
b0099	NC_000913.3	111044	111433	+	390	98
b0101	NC_000913.3	111649	111846	-	198	243
b0102	NC_000913.3	111856	112599	-	744	773
b0103	NC_000913.3	112599	113219	-	621	715
b4727	NC_000913.3	113244	113288	+	45	0
b0104	NC_000913.3	113444	114487	+	1044	1102
b0106	NC_000913.3	114522	115724	-	1203	73
b0107	NC_000913.3	115714	117099	-	1386	112
b0108	NC_000913.3	117109	117549	-	441	14
b0109	NC_000913.3	117752	118645	-	894	872
b0110	NC_000913.3	118733	119284	+	552	603
b0111	NC_000913.3	119281	120135	+	855	547
b0112	NC_000913.3	120178	121551	-	1374	3235
b0113	NC_000913.3	122092	122856	+	765	2594
b0114	NC_000913.3	123017	125680	+	2664	33064
b0115	NC_000913.3	125695	127587	+	1893	14494
b0116	NC_000913.3	127912	129336	+	1425	23471
b0117	NC_000913.3	129407	131260	-	1854	99
b0118	NC_000913.3	131615	134212	+	2598	38740
b0119	NC_000913.3	134388	134750	+	363	594
b0120	NC_000913.3	134788	135582	-	795	1814
b0121	NC_000913.3	135598	136464	-	867	1882
b0122	NC_000913.3	136570	136917	-	348	583
b0123	NC_000913.3	137083	138633	+	1551	343
b0124	NC_000913.3	138835	141225	-	2391	993
b0125	NC_000913.3	141431	141967	+	537	1224
b0126	NC_000913.3	142008	142670	-	663	3100
b0127	NC_000913.3	142779	143705	+	927	999
b0128	NC_000913.3	143702	144472	+	771	652
b0129	NC_000913.3	144577	145017	+	441	376
b0130	NC_000913.3	145081	146310	+	1230	188
b0131	NC_000913.3	146314	146694	-	381	2284
b0132	NC_000913.3	146968	147870	+	903	117
b0133	NC_000913.3	147944	148795	-	852	3110
b0134	NC_000913.3	148807	149601	-	795	2296
b0135	NC_000913.3	149715	150953	-	1239	22
b0136	NC_000913.3	151003	151599	-	597	25
b0137	NC_000913.3	151626	152231	-	606	29
b0138	NC_000913.3	152243	152812	-	570	27
b0139	NC_000913.3	152829	155426	-	2598	52
b0140	NC_000913.3	155461	156201	-	741	6
b0141	NC_000913.3	156299	156883	-	585	4
b0142	NC_000913.3	157253	157732	-	480	133
b0143	NC_000913.3	157729	159126	-	1398	2701
b0144	NC_000913.3	159186	160112	-	927	199
b0145	NC_000913.3	160149	160604	-	456	5339
b0146	NC_000913.3	160782	161486	-	705	672
b0147	NC_000913.3	161501	162031	-	531	126
b0148	NC_000913.3	162105	164534	+	2430	883
b0149	NC_000913.3	164730	167264	+	2535	1595
b0150	NC_000913.3	167484	169727	+	2244	0
b0151	NC_000913.3	169778	170575	+	798	40
b0152	NC_000913.3	170575	171465	+	891	54
b0153	NC_000913.3	171462	173444	+	1983	52
b0154	NC_000913.3	173602	174882	-	1281	1906
b0155	NC_000913.3	175107	176528	+	1422	782
b4728	NC_000913.3	176552	176617	+	66	4
b0156	NC_000913.3	176610	176954	+	345	1102
b0157	NC_000913.3	177001	177624	-	624	190
b0158	NC_000913.3	177662	178462	-	801	367
b0159	NC_000913.3	178455	179153	-	699	2460
b0160	NC_000913.3	179237	180754	+	1518	519
b0161	NC_000913.3	180884	182308	+	1425	3760
b0162	NC_000913.3	182463	183620	+	1158	366
b0163	NC_000913.3	183709	184095	-	387	2179
b0164	NC_000913.3	184257	185069	-	813	164
b0166	NC_000913.3	185123	185947	-	825	4739
b0167	NC_000913.3	185978	188650	-	2673	1868
b0168	NC_000913.3	188712	189506	-	795	2873
b0169	NC_000913.3	189874	190599	+	726	20724
b0170	NC_000913.3	190857	191708	+	852	10476
b0171	NC_000913.3	191855	192580	+	726	1495
b0172	NC_000913.3	192872	193429	+	558	4615
b0173	NC_000913.3	193521	194717	+	1197	685
b0174	NC_000913.3	194903	195664	+	762	3152
b0175	NC_000913.3	195677	196534	+	858	1793
b0176	NC_000913.3	196546	197898	+	1353	3524
b0177	NC_000913.3	197928	200360	+	2433	9243
b0178	NC_000913.3	200482	200967	+	486	3907
b0179	NC_000913.3	200971	201996	+	1026	5304
b0180	NC_000913.3	202101	202556	+	456	3263
b0181	NC_000913.3	202560	203348	+	789	2855
b0182	NC_000913.3	203348	204496	+	1149	2033
b0183	NC_000913.3	204493	205089	+	597	496
b0184	NC_000913.3	205126	208608	+	3483	2646
b0185	NC_000913.3	208621	209580	+	960	2486
b0186	NC_000913.3	209679	211820	+	2142	826
b0187	NC_000913.3	211877	212266	+	390	248
b0188	NC_000913.3	212331	213629	+	1299	447
b0189	NC_000913.3	213678	213932	-	255	450
b4406	NC_000913.3	213925	214125	-	201	508
b0190	NC_000913.3	214291	214836	+	546	430
b0191	NC_000913.3	214833	215255	+	423	295
b0192	NC_000913.3	215269	215979	+	711	488
b0193	NC_000913.3	216179	217003	-	825	85
b0194	NC_000913.3	217057	218775	-	1719	4595
b0195	NC_000913.3	218887	219594	-	708	349
b0196	NC_000913.3	219591	219995	-	405	899
b0197	NC_000913.3	220113	220928	-	816	8852
b0198	NC_000913.3	220968	221621	-	654	2321
b0199	NC_000913.3	221614	222645	-	1032	3318
b0200	NC_000913.3	222833	223408	+	576	703
b0207	NC_000913.3	229167	229970	+	804	608
b0208	NC_000913.3	229967	230881	-	915	394
b0209	NC_000913.3	231122	231922	+	801	2402
b0210	NC_000913.3	231926	232549	+	624	227
b0211	NC_000913.3	232597	233955	-	1359	13757
b0212	NC_000913.3	234027	234782	-	756	615
b0213	NC_000913.3	234816	235538	+	723	310
b0214	NC_000913.3	235535	236002	-	468	297
b0215	NC_000913.3	236067	236798	+	732	1027
b0217	NC_000913.3	237335	238120	+	786	39
b4586	NC_000913.3	238257	238736	-	480	1
