Timepoint Sample,Experiment,Parent Culture,Reactor/Plate/Flask Number,Timepoint (#),Timepoint (h),Sample volume (mL),OD,D-glucose [g/L],acetic acid [g/L],citric acid [g/L],ethanol [g/L],formic acid [g/L],lactate [g/L],potassium dihydrogen phosphate [g/L],pyruvic acid [g/L],succinic acid [g/L],CDW_1 [g/L],CDW_2 [g/L],CDW_3 [g/L],Ammonium [g/L]
DDB_PD_123_AMBR_R05__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S01,12.11059369,7.0,16.23,6.7455246300743,0.475620760109592,0.152997081758583,0.0,0.0,0.0,7.05032303572265,0.0,0.0,4.899999999999904,4.9000000000001265,5.29999999999986,
DDB_PD_123_AMBR_R05__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S02,14.78608087,5.0,35.58,0.0,0.156030697182645,0.09882939647216701,0.0,0.0,0.0,4.774456218851101,0.0,0.0,10.099999999999998,9.800000000000031,10.900000000000132,
DDB_PD_123_AMBR_R05__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S03,34.82390501,5.5,104.225,0.0,0.0,0.1392420682761625,0.0,0.0,0.0,6.84820416205565,0.0,0.0,26.90909090909077,26.54545454545485,26.72727272727261,
DDB_PD_123_AMBR_R05__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S04,55.04371605,5.5,182.1,0.0,0.0,0.0,0.0,0.0,0.0,6.1197653435453505,0.0,0.266989312027336,56.09999999999982,55.90000000000006,55.20000000000014,
DDB_PD_123_AMBR_R05__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R05_Main_,R05,S05,74.82059865,7.5,350.4,0.0,0.0,0.0,0.0,0.0,0.0,1.3270664852842002,0.0,0.168171563190481,97.19999999999995,92.7,92.30000000000004,0.773350711549913
DDB_PD_123_AMBR_R06__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R06_Main_,R06,S01,12.16039207,7.0,17.275,6.058427014637649,0.4314105086299485,0.14205236830690698,0.0,0.31278635600546656,0.0,6.63109310126925,0.0,0.0,5.099999999999882,5.400000000000071,5.300000000000082,
DDB_PD_123_AMBR_R06__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R06_Main_,R06,S02,14.68653344,5.0,36.49,0.0,0.1672679222614755,0.10874423454528,0.0,0.0,0.0,5.21232684241855,0.0,0.0,10.099999999999998,10.199999999999987,10.399999999999965,
DDB_PD_123_AMBR_R06__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R06_Main_,R06,S03,34.72730652,5.5,90.65,0.0,0.0,0.12442281090072199,0.0,0.0,0.0,6.5267981599082505,0.0,0.0,27.272727272727092,26.181818181818528,26.181818181818123,
DDB_PD_123_AMBR_R06__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R06_Main_,R06,S04,54.72653867,5.5,188.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66925724143765,0.0,0.290178604683855,54.89999999999995,54.49999999999999,54.79999999999996,
DDB_PD_123_AMBR_R06__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_DDB35-006_R06_Main_,R06,S05,74.72728167,7.5,361.7,0.0,0.0,0.0,0.0,0.0,0.0,1.2596490951981751,0.0,0.16965885799423552,87.40000000000015,86.99999999999996,86.00000000000007,0.908769085110729
DDB_PD_123_AMBR_R07__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S01,12.0306258,7.0,13.08,6.40625474801075,0.37012761841249997,0.1303292546434735,0.0,0.314752782188003,0.0,5.9186745020129,0.0,0.0,3.7000000000000366,3.8000000000000256,4.0000000000000036,
DDB_PD_123_AMBR_R07__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S02,15.31207439,5.0,34.04,0.0,0.1815230478200135,0.10321737756050499,0.0,0.0,0.0,5.07000273720595,0.0,0.0,10.499999999999954,9.90000000000002,10.299999999999976,
DDB_PD_123_AMBR_R07__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S03,35.37534755,5.5,86.65,0.0,0.0,0.134589830861059,0.0,0.0,0.0,6.197050476042651,0.0,0.0,24.90909090909099,25.454545454545475,28.54545454545463,
DDB_PD_123_AMBR_R07__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S04,55.48398015,5.5,154.6,0.0,0.0,0.24172197367159548,0.0,0.0,0.0,6.63469541561455,0.0,0.27847668522806,50.69999999999997,51.000000000000156,50.89999999999994,
DDB_PD_123_AMBR_R07__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R07_Main_,R07,S05,75.37465403,7.5,275.2,0.0,0.0,0.1217886303962985,0.0,0.0,0.0,1.593839234162825,0.0,0.168743013890438,86.89999999999998,86.7,86.7,1.09437332702196
DDB_PD_123_AMBR_R08__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R08_Main_,R08,S01,12.08680061,7.0,13.705,6.17274834094945,0.351533108930887,0.12332891885804749,0.0,0.0,0.0,5.7372518272542,0.0,0.0,4.2999999999999705,4.0000000000000036,4.1999999999999815,
DDB_PD_123_AMBR_R08__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R08_Main_,R08,S02,15.4113148,5.0,34.08,0.0,0.089696071456042,0.099443464107224,0.0,0.0,0.0,4.6435586117909295,0.0,0.0,10.699999999999932,11.500000000000066,10.89999999999991,
DDB_PD_123_AMBR_R08__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R08_Main_,R08,S03,35.47878944,5.5,82.2,0.0,0.0,0.1986502372649095,0.0,0.0,0.0,7.813333337848601,0.0,0.0,25.8181818181818,24.90909090909099,27.09090909090893,
DDB_PD_123_AMBR_R08__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R08_Main_,R08,S04,55.57790997,5.5,143.3,0.0,0.0,0.34132194133586147,0.0,0.0,0.0,7.962489025535549,0.0,0.0,48.69999999999997,49.2999999999999,48.499999999999986,
DDB_PD_123_AMBR_R08__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT173-002_R08_Main_,R08,S05,75.46996988,7.5,247.6,0.0,0.0,0.115613841656492,0.0,0.0,0.0,1.23943156977536,0.0,0.178709465847834,83.5999999999999,80.79999999999998,80.89999999999998,1.34173740216049
DDB_PD_123_AMBR_R09__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S01,12.03673935,7.0,6.13,10.43051387938225,0.4529497174305215,0.1551747279007925,0.0,0.0,0.0,7.3847395246742,0.19363548558705398,0.0,2.9000000000001247,2.3999999999999577,3.0000000000001137,
DDB_PD_123_AMBR_R09__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S02,22.03213941,5.0,31.3,0.0,0.0,0.1630841098575245,0.0,0.0,0.0,4.705292160305625,0.0,0.0,9.299999999999864,9.700000000000042,9.599999999999831,
DDB_PD_123_AMBR_R09__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S03,42.10907155,5.5,77.65,0.0,0.0,0.351984369937876,0.0,0.0,0.0,7.51833478648635,0.0,0.0,24.363636363636505,24.3636363636361,25.272727272727312,
DDB_PD_123_AMBR_R09__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S04,62.23090241,5.5,181.0,0.0,0.109360547947923,0.343395572104186,0.0,0.33846990459499005,0.0,9.00911495213295,0.0,0.2902530921693455,47.99999999999982,47.80000000000006,46.20000000000002,
DDB_PD_123_AMBR_R09__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R09_Main_,R09,S05,82.10044398,7.5,275.5,0.0,0.0,0.2926220964441315,0.0,0.278936481375539,0.0,3.12734106001739,0.0,0.2148625227119995,85.5999999999999,83.4999999999999,83.69999999999989,1.22672208570365
DDB_PD_123_AMBR_R10__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R10_Main_,R10,S01,12.08924373,7.0,6.485,9.016463216025649,0.421159337127647,0.1363195804999465,0.0,0.0,0.0,6.38509363118935,0.18956924269514253,0.0,2.4999999999999467,2.4999999999999467,2.8999999999999027,
DDB_PD_123_AMBR_R10__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R10_Main_,R10,S02,21.86648581,5.0,31.46,0.0,0.0,0.177754121143449,0.0,0.0,0.0,4.971541360316245,0.0,0.0,9.400000000000075,9.800000000000031,9.599999999999831,
DDB_PD_123_AMBR_R10__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R10_Main_,R10,S03,41.90320606,5.5,88.55,0.0,0.038758623121440204,0.3702933661831345,0.0,0.0,0.0,7.8448654779592,0.0,0.0,26.545454545454447,26.181818181818123,26.363636363636285,
DDB_PD_123_AMBR_R10__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R10_Main_,R10,S04,61.98840266,5.5,163.5,0.0,0.0,0.349538669706728,0.0,0.293271797135857,0.0,8.434433283706,0.0,0.281577601314289,48.00000000000004,48.59999999999997,53.69999999999986,
DDB_PD_123_AMBR_R10__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT178-002_R10_Main_,R10,S05,81.90164485,7.5,251.6,0.0,0.0,0.0,0.0,0.1651245852803225,0.0,2.59813169631554,0.0,0.1467832041676245,81.30000000000015,79.90000000000008,79.29999999999993,1.2651746430770698
DDB_PD_123_AMBR_R11__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S01,12.03523351,7.0,3.085,8.777098054082801,0.0,0.111559938940564,0.0,0.0,0.0,5.397546605644799,0.0,0.0,1.8000000000000238,2.0000000000000018,2.2999999999999687,
DDB_PD_123_AMBR_R11__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S02,20.87257773,5.0,34.19,0.0,0.0,0.1451887701437345,0.0,0.0,0.0,6.84004331545405,0.0,0.0,14.100000000000001,14.29999999999998,13.800000000000034,
DDB_PD_123_AMBR_R11__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S03,40.90949681,5.5,103.9,0.0,0.0,0.12509452032409749,0.0,0.0,0.0,9.7817884596353,0.0,0.0,29.272727272727277,28.363636363636466,28.000000000000146,
DDB_PD_123_AMBR_R11__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S04,61.0488571,5.5,187.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57801244420535,0.0,0.13560801040113502,55.000000000000156,56.200000000000024,49.19999999999991,
DDB_PD_123_AMBR_R11__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R11_Main_,R11,S05,80.90701147,7.5,292.2,0.0,0.0,0.0,0.0,0.0,0.0,2.06543551188014,0.0,0.165439362934992,88.60000000000001,88.89999999999998,89.19999999999995,0.9983378438776611
DDB_PD_123_AMBR_R12__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R12_Main_,R12,S01,12.08559318,7.0,3.06,12.00485052270525,0.0,0.1473986714854335,0.0,0.0,0.0,7.080557797415949,0.0,0.0,2.0000000000000018,2.0000000000000018,2.3999999999999577,
DDB_PD_123_AMBR_R12__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R12_Main_,R12,S02,20.89414845,5.0,34.72,0.0,0.0,0.1892411750654405,0.0,0.0,0.0,8.4161771572203,0.0,0.0,14.19999999999999,14.100000000000001,14.19999999999999,
DDB_PD_123_AMBR_R12__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R12_Main_,R12,S03,40.95648145,5.5,69.35,0.0,0.0,0.070195966906945,0.0,0.0,0.0,6.905190283414901,0.0,0.0,29.999999999999925,22.72727272727305,,
DDB_PD_123_AMBR_R12__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R12_Main_,R12,S04,61.09798039,5.5,167.55,0.0,0.0,0.10615117374694401,0.0,0.0,0.0,7.702465274893299,0.0,0.2297032942137755,50.799999999999734,51.599999999999646,51.60000000000009,
DDB_PD_123_AMBR_R12__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT180-003_R12_Main_,R12,S05,80.95367219,7.5,268.5,0.0,0.0,0.0,0.0,0.0,0.0,1.336405852334635,0.0,0.1362859979896985,81.4999999999999,79.09999999999995,79.60000000000011,1.33117986972547
DDB_PD_123_AMBR_R13__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S01,12.03541634,7.0,13.485,7.1171985275569005,0.585245763274395,0.14781913536555,0.0,0.0,0.1229227925737905,6.5529036478429505,0.0,0.0,4.0000000000000036,3.9000000000000146,4.3999999999999595,
DDB_PD_123_AMBR_R13__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S02,16.15704561,5.0,33.24,0.0,0.0,0.1860223486424675,0.0,0.0,0.0,8.1012279243457,0.0,0.0,10.89999999999991,10.700000000000154,11.00000000000012,
DDB_PD_123_AMBR_R13__S03,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S03,36.22763009,5.5,80.95,0.0,0.0,0.21643888273525003,0.0,0.0,0.0,6.4606355737589505,0.0,0.0,20.909090909091027,25.09090909090915,25.272727272727312,
DDB_PD_123_AMBR_R13__S04,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S04,56.43341553,5.5,153.45,0.0,0.0,0.2850829816961615,0.0,0.0,0.0,6.2144916357412505,0.0,0.22836340156814,55.20000000000014,54.59999999999998,54.59999999999998,
DDB_PD_123_AMBR_R13__S05,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R13_Main_,R13,S05,76.19986837,7.5,276.9,0.0,0.0,0.24618438093964248,0.0,0.18098424151348902,0.10194637970398501,2.355238773585555,0.0,0.2888229480360805,84.60000000000001,84.19999999999983,83.5999999999999,1.1954500275620799
DDB_PD_123_AMBR_R14__S01,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R14_Main_,R14,S01,12.08533987,7.0,13.265,7.9429927186404505,0.61847455363842,0.1606279451356905,0.0,0.323988269231614,0.0,7.4532191097311,0.0,0.0,3.9000000000000146,3.7999999999998035,4.3999999999999595,
DDB_PD_123_AMBR_R14__S02,DDB_PD_123_AMBR,DDB_PD_123_AMBR_SDT201-002_R14_Main_,R14,S02,16.20723389,5.0,34.71,0.0,0.0,0.145262765454932,0.0,0.0,0.0,6.498160809194849,0.0,0.0,11.399999999999855,10.800000000000143,11.299999999999866,
